ticker,market,final_market_cap,source_final_market_cap,market_cap_mm
BDR,stocks,4064388.52,asof,4.064
NVAX,stocks,27181102.243499998,asof,27.181
FCEL,stocks,54352913.103,asof,54.353
BDL,stocks,62264674.5,asof,62.265
WM,stocks,67097943.66279999,asof,67.098
BDMD,stocks,113850286.9,asof,113.85
BCV,stocks,115812890.24000001,asof,115.813
BCTX,stocks,118802482.9,asof,118.802
BDTX,stocks,122496062.94999999,asof,122.496
BCSA,stocks,149389503.84,asof,149.39
BDSX,stocks,149407764.3,asof,149.408
BEAG,stocks,330091720.0,asof,330.092
BDCI,stocks,347119203.33,asof,347.119
BDSI,stocks,368508852.46999997,asof,368.509
DAL,stocks,396808567.16,asof,396.809
BDN,stocks,531519059.34000003,asof,531.519
BCSS,stocks,591592000.0,asof,591.592
BCSF,stocks,821235298.62,asof,821.235
BCX,stocks,830170343.6,asof,830.17
SWN,stocks,1115112544.14,asof,1115.113
WEN,stocks,1180394211.1999998,asof,1180.394
XRX,stocks,1237088548.08,asof,1237.089
JBLU,stocks,1661837309.3200002,asof,1661.837
KSS,stocks,1696300567.9199998,asof,1696.301
BDJ,stocks,1761452519.98,asof,1761.453
NWL,stocks,1777408000.0,asof,1777.408
HMY,stocks,1856176089.6,asof,1856.176
